תוצר,יצרן,מספר מופעים,סוגי רישיון
ALPINE,RENAULT S.A.S,1,ישיר
ARCFOX,PISCIS AUTO INC,1,עקיף
ARCTIC LEOPARD,ZHEJIANG ARCTIC LEOPARD ELECTRIC TECHNOLOGY CO,1,ישיר
BAIC,BAIC INTERNATIONAL DEVELOPMENT CO LTD,1,ישיר
BAW,SHANDONG MARABESE VEHICLE CO LTD,1,ישיר
BEIJING AUTOMOBILE WORKS CO LTD,BEIJING AUTOMOBILE WORKS CO LTD,1,עקיף
BENDA,HANGZHOU SATURN POWER TECHNOLOGY CO. LTD,1,ישיר
BETA,BETAMOTOR SPA,1,ישיר
BLACK SERIES,BLACK SERIES INTELLIGENT EQUIPMENT (WEIHAI) CO LTD,1,ישיר
BLITZ,NINGBO SHENCHIMA INDUSTRY CO LTD,1,ישיר
BRF,BULENT RAMAZAN TREYLER TERMOKING ELEKTRONIK HIZMETLERI OTOMOTIV VE YEDEK PARCALARI PETROL URUNLERI TASIMACILIK DENIZ URUNLERI HAYVANCILIK TARIM URUNLERI SANAYI VE TICARET LIMITED SIRKETI,1,ישיר
BROSHUIS,BROSHUIS,1,ישיר
BRP,BRP EUROPEAN DISTRIBUTION S.A,1,ישיר
BYD,BYD AUTO CO LTD | BYD AUTO INDUSTRY CO LTD,4,"ישיר, עקיף"
CENNTRO,CENNTRO AUTOMOTIVE CORPORATION,1,ישיר
CFMOTO,ZHEJIANG CFMOTO POWER CO LTD,1,ישיר
CHERY,CHERY AUTOMOBILE CO LTD,3,"ישיר, עקיף"
CHEVAL LIBERTE,DEBON SP. Z.O.O,1,ישיר
CLARK,CLARK MATERIAL HANDLING CO,1,ישיר
CORVUS,CORVUS INNOV S.L,1,ישיר
CRRC,CRRC ELECTRIC VEHICLE CO LTD,1,ישיר
CUSHMAN,TEXTRON SPECIALIZED VEHICLES INC,1,ישיר
D.S,AUTOMOBILES CITROEN | STELLANTIS NV | סיטרואן,3,"ישיר, עקיף"
DAYUN,DAYUN AUTOMOBILE CO LTD,1,ישיר
DEEPAL,MOBITECH CO LTD,1,ישיר
DENAGO,ZHEJIANG TAOTAO VEHICLES CO LTD,1,ישיר
DENNIS EAGLE,DENNIS EAGLE LIMITED,1,ישיר
DFSK,CHONGQING SOKON MOTOR (GROUP) IMP. & EXP.CO. LTD,2,ישיר
DONGFENG,CHINA DONGFENG MOTOR INDUSTRY IMP. & EXP. CO. LTD,1,ישיר
DOOHAN,ZHEJIANG DOOHAN TECHNOLOGY CO LTD,1,ישיר
DS,STELLANTIS NV,1,עקיף
DUCATI,DUCATI MOTOR HOLDING S.P.A,1,ישיר
EAGLE,SUZHOU EAGLE ELECTRIC VEHICLE MANUFACTURING CO LTD,1,ישיר
ENERGICA,ENERGICA MOTOR COMPANY S.P.A,1,ישיר
EVEASY,JIANGXI JIANGLING GROUP ELECTRIC VEHICLE CO LTD,1,ישיר
EVOLUTION,EVOLUTION ELECTRIC VEHICLE,1,ישיר
EXCAR,DONGGUAN EXCAR ELECTRIC VEHICLE CO LTD,1,ישיר
EZGO,TEXTRON SPECISLIZED VEHICLES INC,1,ישיר
FANTIC MOTOR,FANTIC MOTOR S.P.A,1,ישיר
FARO,MULTI OFFER SP. Z.O.O,1,ישיר
FEISHEN,ZHEJIANG FEISHEN VEHICLE INDUSTRY CO LTD,1,ישיר
FENDT CARAVAN,FENDT CARAVAN GMBH,1,ישיר
FGM S.R.L,FGM S.R.L,1,ישיר
FORD TRUCKS,FORD MOTOR COMPANY,1,ישיר
FORTHING,DONGFENG LIUZHOU MOTOR CO LTD,1,ישיר
FUSO,DAIMLER TRUCK AG,1,ישיר
GAS GAS,GASGAS MOYORCYCLES GMBH,1,ישיר
GENERAL SERVICE,GENERAL SERVICE S.R.L,1,ישיר
GMC,GENERAL MOTORS LLC | GENERAL MOTORS COMPANY | GENERAL MOTORS HOLDINGS LLC | GENERAL MOTORS OF CANADA COMPANY | GENERAL MOTORS OVERSEAS DISTRIBUTION LLC | GENERAL MOTORS PF CANADA COMPANY,42,"ישיר, עקיף"
GOGORO,GOGORO TAIWAN LIMITED,1,ישיר
GOLDEN DRAGON,XIAMEN GOLDEN DRAGON BUS CO.,1,ישיר
GOUPIL,GOUPIL INDUSTRIE SAS,1,ישיר
GREENMAN,GREENMAN ELECTRIC VEHICLES CO LTD,1,ישיר
HER-CHEE,HER-CHEE INDUSTRIAL CO LTD,1,ישיר
HIGER,HIGER BUS COMPANY LIMITED,1,ישיר
HINO,HINO MOTORS LTD,1,ישיר
HISUN,CHONGQING HUANSONG SCIENCE AND TECHNOLOGY INDUSTRIAL CO LTD,1,ישיר
HYOSUNG,JINAN QINGQI LETOWIN MOTORCYCLE SALES CO LTD,1,ישיר
IFOR WILLIAMS,IFOR WILLIAMS TRAILERS LTD,1,ישיר
IM,IM MOTORS (SHANGHAI) SALES CO LTD,1,ישיר
INDIAN,POLARIS SALES EUROPE SARL,1,ישיר
IRIZAR,IRIZAR S.COOP,1,ישיר
IVECO,IVECO DEFENC E VEHICLES S.P.A | IVECO S.P.A,2,ישיר
JAECOO,ANHUI OMODA JAECOO AUTOMOBILE CO LTD | CHERY AUTOMOBILE CO LTD | OMODA @ JAECOO AUTOMOBILE CO LTD,3,"ישיר, עקיף"
JIAYUAN,NANJING JIAYUAN INTERNATIONAL TRADE CO LTD,1,ישיר
JONWAY,JIANGSU YONGYUAN ELECTRIC TECHNOLOGY CO LTD,1,ישיר
KAESSBOHRER,TIRSAN TREYLER SANAYI TICARET VE NAKLIYAT AS,1,ישיר
KARAVAN TRAILERS,KARAVAN TRAILERS INC.,1,ישיר
KAYO,ZHEJIANG KAYO MOTOR CO LTD,1,ישיר
KENWORTH,PACCAR INC,1,ישיר
KING LONG,XIAMEN KING LONG UNITED AUTOMOTIVE INDUSTRY CO LTD,1,ישיר
KOVE,TIBET NEW SUMMIT MOTOR CO LTD,1,ישיר
KRONE,FAHRZEUGWERK BERNARD KRONE GMBH,1,ישיר
KTM,KTM SPORTMOTORCYCLE GMBH,1,ישיר
LAMBERET,LAMBERET SAS,1,ישיר
LEAPMOTOR,LEAPMOTOR INTERNATIONAL B.V,1,ישיר
LECI TRAILER,LECI TRAILER S.A,1,ישיר
LIEBHERR,LIEBHERR-WERK EHINGEN GMBH,1,ישיר
LINHAI,JIANGSU LINHAI POWER MACHINERY GROUP CO LTD,1,ישיר
LINXYS,LIUZHOU WULING NEW ENERGY AUTOMOBILE CO LTD,1,ישיר
LOADRITE,LOAD RITE TRAILERS INC,1,ישיר
LVTONG,GUANGDONG LVTONG NEW ENERGY ELECTRIC VEHICLE TECHNOLOGY CO LTD | GUANGDONG LNTONG NEW ENERGY ELECTRIC VECHICLE TECHNOLOGY CO LTD,5,ישיר
LVTONG רכב תפעולי,GUANGDONG LVTONG NEW ENERGY ELECTRIC VEHICLE TECHNOLOGY CO LTD,1,ישיר
LYNK&CO,LYNK & CO AUTOMOBILE INTERNATIONAL SALES CO LTD,1,ישיר
MAGYAR,G. MAGYAR S.A.,1,ישיר
MAN,MAN TRUCK & BUS SE | MAN TRUCKE & BUS SE,2,"ישיר, עקיף"
MANGOSTEEN,MANGOSTEEN TECHNOLOGY CO LTD,1,ישיר
MARSHELL,SHANGHAI MARSHELL ELECTRIC VEHICLE COMPANY,1,ישיר
MAXUS,SAIC MAXUS AUTOMOTIVE CO LTD,2,ישיר
MELEX,MELEX SPOLKA Z ORGANOICZONA,1,ישיר
MG,MG MOTORS | SAIC MOTOR CORP LIMITED | SAIC MOTOR INTERNATIONAL CO LTD,3,"ישיר, עקיף"
MODERN,JIANGSU GUOXIN NEW ENERGY PASSENGER CAR CO LTD,1,ישיר
MORBIDELLI,QIANJIANG MOTOR (ASEAN) LIMITED,1,ישיר
